15	11	E	-1.02790835634026E7	153
emissionprobs	15	1	Control	0	0.9952124254388187
emissionprobs	15	1	Control	1	0.00478757456118117
emissionprobs	15	2	EZH2	0	0.8582650262393461
emissionprobs	15	2	EZH2	1	0.14173497376065405
emissionprobs	15	3	H2AZ	0	0.9950463221874489
emissionprobs	15	3	H2AZ	1	0.004953677812550981
emissionprobs	15	4	H3K27ac	0	0.9996344992052952
emissionprobs	15	4	H3K27ac	1	3.655007947046905E-4
emissionprobs	15	5	H3K36me3	0	0.9998963026550075
emissionprobs	15	5	H3K36me3	1	1.0369734499246077E-4
emissionprobs	15	6	H3K4me1	0	0.9993819345440503
emissionprobs	15	6	H3K4me1	1	6.180654559496398E-4
emissionprobs	15	7	H3K4me2	0	0.9977448105227446
emissionprobs	15	7	H3K4me2	1	0.002255189477255527
emissionprobs	15	8	H3K4me3	0	0.9999605104445083
emissionprobs	15	8	H3K4me3	1	3.948955549178585E-5
emissionprobs	15	9	H3K9ac	0	0.9992538335858225
emissionprobs	15	9	H3K9ac	1	7.461664141775013E-4
emissionprobs	15	10	H4K20me1	0	0.9896364367513267
emissionprobs	15	10	H4K20me1	1	0.010363563248673309
